你望向她的时候 世上不止有一个月亮  //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你在我眼里永远闪闪发光，就像整个宇宙的星光都撒在你身上 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我在人间贩卖日落，只为带着温柔去见你 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
月亮会感到孤独，星星和你皆是救赎 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
喜欢你不是三分钟热度，是蓄谋已久后的深思熟虑 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你眼中的浩瀚星河，胜过我看过的所有山川和河流 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
唯有你的光辉能像漫过山岭的薄雾 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
见过你的眼睛，我再也没看过星光 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
✨你好似我读到的“爱得其所，自在自如”，是那种负春晖不耀，并夏阳不灼，感秋伤不叹，拥冬月不悲，满身诗华懒觉察的少年气。 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
多谢你如此精彩耀眼，成为我平淡岁月里的星辰。 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你身上干净耀眼的少年气，晴朗了我所有的欢喜。 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你是舞台中央流转的热浪，在聚光灯闪烁的夜肆意发烫。 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
第一眼惊艳，第二眼沦陷，第三眼不负遇见 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
✨生活每天都让我灰头土脸，你却有能力让沙漠里开出蔷薇。 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
✨眉眼弯起来的时候仿佛有偌大的引力，天空上所有的星星都被你吸了去；可后来想想，天空上那片璀璨的星辰，应该是在你笑的时候偷偷跑出去的~ //@粗莓日记://@粗莓日记://@慕馑:【317】助力
万物枯荣皆为你眼，我目眩神驰。而你一笑清明，潦倒我的众生。 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
带给我希望与光的人，把他称为我的光. //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你走的路要繁花盛开 要人声鼎沸 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你是为我驱散阴霾里的阳光，触不可及的温暖。 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
"你是落日弥漫的橘,是天边透亮的星. //@粗莓日记://@粗莓日记://@慕馑:【317】助力"
世界的善意 是晚来的温柔和干净的你 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我把喜欢写在风里，从此整个世界是你 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
这世上最闪光的无非是你笑起来的样子 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
风是柔柔的，云是粉粉的，你是甜甜的 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
人生不长，喜欢你这件事我不想隐瞒 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
想与你一起把世间的光怪陆离都经历 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
喜欢不是一件浪漫的事，♡喜欢你才是 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
纵拥千千晚星，唯你是我眼中的星辰✧ //@粗莓日记://@粗莓日记://@慕馑:【317】助力
喜欢你的理由，都是喜欢了之后才有的 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
🌺未曾相逢先一笑，初会便已许平生 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你眸海温涟，藏山高水远，我的人间 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
看花式虐狗，不如就地牵手👫再遇见你一百次，我也会沦陷一百次 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
哪有什么四季，遇见你，四季如春🌸 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
全世界的晴朗🌞都在你的身上ﻌﻌﻌﻌ♡ //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我希望，我是你想藏在口袋里的欢喜✧ //@粗莓日记://@粗莓日记://@慕馑:【317】助力
喜欢你虽不是一见钟情，但不能说停就停 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你眼中的星河荡漾，是我一生的心之所向 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
纵然万家灯火亮起 我也只见你眸中星辰 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你眼中有星河，胜过我见过的一切浩渺烟波 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
落日溺在云层里，银河滑落一片掉进大海里，月光散落在森林里，该和你手牵手走在这浪漫里 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
喜欢是毫无理由的护短和潜意识的偏爱 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
遗忘世间常态，寄人间之慕于星海，值得觊觎一眼 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
这一年故事很简单，遇见你，我特别喜欢 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你在我面前永远闪闪发光，就像整个宇宙的星光都撒在你身上 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
宇宙山河、烂漫人间，点滴温暖都值得我前进 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
ᵀʰᵒˢᵉ ʷʰᵒ ˢʰᵒᵘˡᵈ ᵐᵉᵉᵗ ʷⁱˡˡ ᵐᵉᵉᵗ ᵒⁿᵉ ᵈᵃʸ. 该相见的人总有一天会相见的。 ​​​ //@粗莓日记://@粗莓日记://@慕馑:【317】助力
"收集四季赠予你 愿你春夏秋冬皆开心。 Collect the four seasons for you. May you be happy in spring, summer, autumn and winter. //@粗莓日记://@粗莓日记://@慕馑:【317】助力"
"春来夏往 秋收冬藏 希望我们来日方长。 Spring comes, summer goes, autumn harvests, winter hides. Hope we will be long in Japan. //@粗莓日记://@粗莓日记://@慕馑:【317】助力"
愿我喜欢的人都能被好运照顾。 May the people I like be taken care of by good luck.  //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你不懂那种看你一眼就会笑的人是有多么的喜欢你。 You don’t know how much people who laugh at you like you //@粗莓日记://@粗莓日记://@慕馑:【317】助力
"我宁愿和你共度短暂的一生，也不愿一个人看尽沧海桑田。 “ I'd rather share one lifetime with you, than face all the ages of this world alone. ”  //@粗莓日记://@粗莓日记://@慕馑:【317】助力"
"你是始料不及的心动，是我唯恐不及的惊鸿。 You are an unexpected heartbeat, and a shock that I am afraid of. //@粗莓日记://@粗莓日记://@慕馑:【317】助力"
我喜欢你，是那种一想到你的名字，心里动辄海啸山鸣的喜欢 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
ᴮᵉ ˢᵘʳᵉ ᵗᵒ ˢᵗᵃⁿᵈ ⁱⁿ ᵗʰᵉ ʷᵒʳˡᵈ ʸᵒᵘ ˡᵒᵛᵉ ᵃⁿᵈ ˢʰⁱⁿᵉ. （一定要站在自己所热爱的世界里，闪闪发亮。） ​​​  //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我是藏匿于这个世界偷偷喜欢你的小鬼 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你是我的太阳，毕竟有你，我才看得到阳光 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
错过江山错落，才发现你是人间星火 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我有一点甜，有一点可爱和好多好多喜欢你 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
落日溺在云层里，银河滑落一片掉进大海里，月光散落在森林里，该和你手牵手走在这浪漫里. //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我的夜空本星河长明 遇见你后寥若晨星 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我原本是叼着烟在小巷堵人的 直到遇见你 我开始留意橱窗里的白裙子 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
星星醉酒到处跑 月亮跌进深海里 我以为从未觉得人间美好的 直到你来了 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你是世间游离的精灵 我是代代守护你的神明 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
夏天有梅子味的晚霞和两三颗啤酒味的星以及一勺浓郁的风，冲开少年草莓味的心事 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你眼中的星河荡漾，是我一生的心之所向 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
纵然万家灯火亮起 我也只见你眸中星辰 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你眼中有星河，胜过我见过的一切浩渺烟波 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
